statuses_count,followers_count,friends_count,favourite_count,listed_count,default_profile_binary,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,hashtags_per_post,urls_per_post,mentions_per_post,words_per_post,IS_BOT
13 ,0 ,21 ,5 ,0 ,1,1,1,0.022968197879858657,0.0,0.037102473498233215,0.0088339222614841,0.0,0.0,1,1,2,0,0,0.07692307692307693,0.23076923076923078,1.1538461538461537,14.846153846153847,1
359 ,395 ,1101 ,8522 ,0 ,1,1,1,0.24306025727826674,0.2674339878131347,0.7454299255247122,5.7698036560595805,0.0,0.35876475930971846,1,1,1,0,5,0.08743169398907104,0.11475409836065574,1.53551912568306,20.989071038251367,1
4739 ,36599 ,1950 ,5489 ,249 ,1,1,1,1.6967418546365916,13.103831006086645,0.6981740064446831,1.9652703186537772,0.08915145005370569,18.76871794871795,1,0,2,0,26,0.05,0.65,0.82,24.385,0
5205 ,2295055 ,338 ,2824 ,3929 ,1,1,1,1.1067403784818202,487.9980863278758,0.07186901977461195,0.600467786519243,0.835424197320859,6790.103550295858,1,0,2,0,5,1.7,1.395,0.79,26.115,0
1 ,0 ,108 ,359 ,0 ,1,1,1,0.0015723270440251573,0.0,0.16981132075471697,0.5644654088050315,0.0,0.0,1,2,2,0,0,0.0,0.0,1.0,2.0,0
382 ,12 ,673 ,105 ,0 ,1,1,1,0.6761061946902654,0.021238938053097345,1.191150442477876,0.18584070796460178,0.0,0.017830609212481426,1,8,2,0,21,0.0,1.0,1.0,2.21,1
333 ,160449 ,68 ,410 ,20 ,1,1,1,0.4868421052631579,234.57456140350877,0.09941520467836257,0.5994152046783626,0.029239766081871343,2359.544117647059,1,0,1,0,15,0.025,0.375,0.37,7.695,0
154 ,346505 ,1267 ,19 ,6816 ,1,1,1,0.03428317008014248,77.13824577025824,0.28205699020480857,0.004229741763134461,1.5173642030276047,273.4846093133386,1,0,2,0,13,0.056338028169014086,0.5070422535211268,0.8309859154929577,12.43661971830986,0
20442 ,774108 ,445 ,185 ,1054 ,1,1,1,4.578275475923852,173.3724524076148,0.09966405375139978,0.04143337066069429,0.2360582306830907,1739.5685393258427,1,0,2,0,16,0.3,0.28,0.805,19.535,0
9080 ,4868 ,5316 ,18125 ,2 ,1,1,1,1.956053425247738,1.048685911245153,1.145196036191297,3.9045669969840584,0.00043084877208099956,0.9157261098570354,1,3,3,0,11,0.07,0.2,1.045,18.215,1
4453 ,171854 ,78 ,217 ,1916 ,1,1,1,0.9414376321353065,36.33276955602537,0.01649048625792812,0.04587737843551797,0.4050739957716702,2203.25641025641,1,0,2,0,11,0.36,1.22,0.795,36.265,0
4539 ,1203366 ,579 ,170 ,6275 ,1,1,1,1.1854270044398014,314.27683468268475,0.1512144162966832,0.04439801514755811,1.6388090885348654,2078.352331606218,1,0,2,0,20,0.19,0.72,0.925,15.11,0
733 ,2321541 ,127 ,83 ,2709 ,1,1,1,0.24425191602799068,773.5891369543485,0.04231922692435855,0.027657447517494167,0.9026991002999001,18279.850393700788,1,0,2,0,7,0.49748743718592964,0.8894472361809045,0.8492462311557789,13.557788944723619,0
54894 ,85562156 ,50 ,4 ,118656 ,1,1,1,11.583456425406204,18054.89681367377,0.010550749103186326,0.0008440599282549061,25.038193711753536,1711243.12,1,0,3,0,8,0.125,0.53,0.71,16.19,0
19083 ,299143 ,660 ,18710 ,1228 ,1,1,1,8.674090909090909,135.9740909090909,0.3,8.504545454545454,0.5581818181818182,453.2469696969697,1,0,3,0,24,0.055,0.34,0.61,22.075,0
16266 ,35208 ,4514 ,37349 ,6 ,1,1,1,14.484416740872662,31.35173642030276,4.019590382902939,33.258236865538734,0.005342831700801425,7.799734160389898,1,0,2,0,8,0.305,0.33,0.5,19.13,0
38 ,48 ,268 ,10 ,0 ,1,1,1,0.05731523378582202,0.07239819004524888,0.4042232277526395,0.015082956259426848,0.0,0.1791044776119403,1,1,1,0,10,0.0,0.13157894736842105,1.105263157894737,11.289473684210526,0
27446 ,216505 ,57722 ,8688 ,2027 ,1,1,1,5.904905335628227,46.5802495697074,12.418674698795181,1.8691910499139415,0.4361015490533563,3.750822909809085,1,0,2,0,20,0.18,0.355,1.97,21.325,0
256873 ,9254866 ,3190 ,6415 ,19327 ,1,1,1,48.9468368902439,1763.5034298780488,0.6078506097560976,1.2223704268292683,3.6827362804878048,2901.2119122257054,1,0,1,0,19,0.725,1.015,0.535,15.09,0
23592 ,641424 ,3282 ,34331 ,3509 ,1,1,1,6.267800212539851,170.41020191285867,0.8719447396386822,9.120882040382572,0.9322529224229543,195.43692870201096,1,0,3,0,5,0.345,1.08,1.645,17.65,0
1 ,5 ,78 ,8 ,0 ,1,1,1,0.0008605851979345956,0.004302925989672977,0.06712564543889846,0.0068846815834767644,0.0,0.0641025641025641,1,1,1,0,21,0.5,0.0,1.0,23.0,0
9370 ,21539425 ,172 ,3135 ,41800 ,1,1,1,1.9537114261884905,4491.122810675563,0.03586321934945788,0.6536697247706422,8.715596330275229,125229.21511627907,1,0,2,0,13,0.555,0.885,0.86,16.985,0
5059 ,6077689 ,123 ,26 ,14458 ,1,1,1,1.6779436152570482,2015.817247097844,0.04079601990049751,0.008623548922056384,4.795356550580431,49412.10569105691,1,0,2,0,1,0.07537688442211055,0.3417085427135678,0.5527638190954773,16.381909547738694,0
2 ,3 ,135 ,0 ,0 ,1,1,1,0.002861230329041488,0.004291845493562232,0.19313304721030042,0.0,0.0,0.022222222222222223,1,4,2,0,0,0.0,0.0,0.0,6.5,0
426 ,551772 ,1344 ,21879 ,8374 ,1,1,1,0.08977871443624869,116.28493150684932,0.283245521601686,4.610958904109589,1.7648050579557428,410.54464285714283,1,0,2,0,5,0.025,0.075,0.765,12.1,0
41 ,26 ,478 ,458 ,1 ,1,1,1,0.04149797570850203,0.02631578947368421,0.48380566801619435,0.46356275303643724,0.0010121457489878543,0.05439330543933055,1,3,1,0,3,0.12195121951219512,0.36585365853658536,1.0975609756097562,5.170731707317073,0
3680 ,10687 ,1134 ,110 ,427 ,1,1,1,0.8318264014466547,2.4156871609403257,0.2563291139240506,0.024864376130198915,0.09651898734177215,9.42416225749559,1,0,2,0,4,0.01,0.375,0.34,27.235,0
52 ,3881 ,0 ,0 ,4 ,1,1,1,0.03217821782178218,2.401608910891089,0.0,0.0,0.0024752475247524753,0,1,0,1,0,11,1.1346153846153846,1.0961538461538463,0.5769230769230769,10.942307692307692,1
134716 ,7512138 ,1075 ,14588 ,23290 ,1,1,1,28.048303143868416,1564.0512179887571,0.22381844680408078,3.0372683739329585,4.849052675411201,6988.035348837209,1,0,1,0,9,0.36,1.5,0.165,21.17,0
26106 ,2170902 ,364 ,28667 ,2480 ,1,1,1,8.025207500768522,667.3538272363971,0.11189671072855825,8.812480786965878,0.7623731939747925,5964.016483516483,1,0,5,0,19,0.2864321608040201,0.4120603015075377,1.3869346733668342,9.231155778894472,0
2302 ,6527 ,42 ,27 ,59 ,1,1,1,0.5571151984511132,1.579622458857696,0.01016456921587609,0.006534365924491772,0.014278799612778316,155.4047619047619,1,0,1,0,19,2.585,1.465,0.075,23.615,1
68 ,27 ,207 ,9 ,0 ,1,1,1,0.02853545950482585,0.011330255979857323,0.0868652958455728,0.0037767519932857744,0.0,0.13043478260869565,1,2,2,0,0,4.661764705882353,0.8235294117647058,0.6764705882352942,16.470588235294116,0
20 ,18 ,730 ,1389 ,0 ,1,1,1,0.024968789013732832,0.02247191011235955,0.9113607990012484,1.7340823970037453,0.0,0.024657534246575342,1,8,1,0,2,0.0,0.05,1.2,10.65,0
37561 ,3194619 ,649 ,4763 ,2818 ,1,1,1,8.544358507734303,726.7104185623294,0.14763421292083712,1.0834849863512284,0.6410373066424022,4922.371340523883,1,0,3,0,23,0.265,0.345,1.29,18.15,0
2 ,5 ,358 ,20 ,0 ,1,1,1,0.00322061191626409,0.008051529790660225,0.5764895330112721,0.0322061191626409,0.0,0.013966480446927373,1,8,1,0,0,0.0,0.0,2.5,20.0,0
284114 ,18971487 ,573 ,1466 ,50555 ,1,1,1,60.3855472901169,4032.1970244420827,0.12178533475026568,0.31158342189160465,10.744952178533476,33109.05235602094,1,0,3,0,26,0.115,1.06,0.125,23.58,0
16672 ,8012 ,8414 ,155 ,113 ,1,1,1,3.621198957428323,1.740225890529974,1.8275412684622068,0.03366637706342311,0.024543874891398785,0.9522224863323033,1,0,1,0,22,5.28643216080402,1.2110552763819096,0.8391959798994975,16.738693467336685,1
1337 ,34070 ,230 ,754 ,202 ,1,1,1,0.5009366804046459,12.7650805545148,0.086174597227426,0.2825028100412139,0.07568377669539153,148.1304347826087,1,0,3,0,23,0.62,1.44,0.965,17.52,1
739 ,29 ,2220 ,2643 ,0 ,1,1,1,0.37304391721352853,0.01463907117617365,1.1206461383139827,1.3341746592629984,0.0,0.013063063063063063,1,8,2,0,11,0.17010309278350516,0.33505154639175255,1.1701030927835052,16.170103092783506,0
27400 ,72158328 ,1124 ,4070 ,78688 ,1,1,1,5.240007649646204,13799.641996557659,0.2149550583285523,0.7783515012430675,15.048384012239435,64197.800711743774,1,0,1,0,3,0.07,0.585,1.19,12.425,0
6869 ,9403 ,195 ,4362 ,102 ,1,1,1,2.0037922987164527,2.7429988331388566,0.05688448074679113,1.2724620770128354,0.029754959159859977,48.22051282051282,1,0,2,0,24,2.02,0.8,0.565,21.36,1
45086 ,147642 ,142018 ,27036 ,3453 ,1,1,1,13.159953298307064,43.09457092819615,41.453006421482776,7.891418563922942,1.0078809106830122,1.0396006140066751,1,0,9,0,25,0.885,0.48,1.385,23.495,1
117159 ,22154163 ,290 ,2870 ,93041 ,1,1,1,24.535916230366492,4639.615287958115,0.060732984293193716,0.6010471204188481,19.48502617801047,76393.66551724137,1,0,1,0,1,0.005,0.685,1.01,24.895,0
23358 ,26537 ,3688 ,11485 ,1061 ,1,1,1,4.915404040404041,5.584385521885522,0.7760942760942761,2.4168771043771042,0.22327441077441076,7.195498915401301,1,0,1,0,18,0.945,1.035,1.82,26.465,0
1136 ,993 ,1535 ,1979 ,47 ,1,1,1,0.41596484804101064,0.36360307579641155,0.5620651775906261,0.724642987916514,0.01720981325521787,0.6469055374592834,1,0,2,0,8,0.8391959798994975,0.3768844221105528,3.0050251256281406,16.14070351758794,1
63352 ,1473008 ,1243 ,17258 ,5526 ,1,1,1,17.13142239048134,398.3255813953488,0.33612763656030287,4.666846944294213,1.4943212547322877,1185.042638777152,1,1,2,0,7,0.05,0.43,0.98,17.82,1
7968 ,300 ,101 ,421 ,8 ,1,1,1,1.7146546158812137,0.0645577792123951,0.02173445233483968,0.09059608349472778,0.0017215407789972026,2.9702970297029703,1,0,2,0,11,1.2261306532663316,0.8391959798994975,0.4824120603015075,19.949748743718594,0
1427 ,3534367 ,213 ,601 ,14295 ,1,1,1,0.40073013198539736,992.5209210895816,0.05981465880370682,0.16877281662454366,4.0143218197135635,16593.272300469485,1,0,2,0,0,0.98,0.98,0.68,16.18,0
24257 ,1032835 ,1172 ,27433 ,13867 ,1,1,1,4.920283975659229,209.5,0.23772819472616633,5.564503042596349,2.8127789046653144,881.2585324232082,1,0,1,0,1,0.2,0.595,1.575,22.885,0
3599 ,79 ,3571 ,1312 ,0 ,1,1,1,6.120748299319728,0.13435374149659865,6.0731292517006805,2.2312925170068025,0.0,0.02212265471856623,1,1,2,0,0,0.285,0.15,1.49,19.595,1
22007 ,79829417 ,27279 ,2172 ,99140 ,1,1,1,4.441372351160444,16110.881331987892,5.5053481331987895,0.4383451059535822,20.008072653884966,2926.40555005682,1,0,2,0,17,0.54,0.895,0.665,16.225,0
12 ,1 ,96 ,212 ,0 ,1,1,1,0.015978695073235686,0.0013315579227696406,0.1278295605858855,0.2822902796271638,0.0,0.010416666666666666,1,0,2,0,31,0.0,0.25,1.0,26.333333333333332,1
21700 ,369481 ,2898 ,7806 ,3701 ,1,1,1,4.260750049086982,72.54682898095425,0.569016296878068,1.5326919301001374,0.7266836834871392,127.4951690821256,1,0,2,0,23,0.055,0.385,2.25,16.08,0
69019 ,1631153 ,4944 ,20526 ,9627 ,1,1,1,14.460297506809134,341.745862141211,1.0358265241986173,4.3004399748585795,2.016970458830924,329.9257686084142,1,0,2,0,24,0.85,0.815,1.805,17.72,0
265528 ,7712084 ,522 ,298 ,50906 ,1,1,1,52.84139303482587,1534.7430845771144,0.10388059701492537,0.05930348258706468,10.130547263681592,14774.107279693486,1,0,2,0,8,0.02,1.095,0.31,20.115,0
38331 ,6931 ,6691 ,23024 ,254 ,1,1,1,8.124417125900806,1.4690546841882153,1.4181856718948707,4.880033912674862,0.05383637134378974,1.03586907786579,1,1,2,0,16,0.2663316582914573,0.2613065326633166,1.185929648241206,16.482412060301506,1
380 ,21044 ,155 ,1652 ,12 ,1,1,1,0.09688934217236105,5.36562978072412,0.0395206527281999,0.42121366649668535,0.0030596634370219276,135.76774193548388,1,0,2,0,28,0.61,0.905,0.59,14.105,1
609 ,214 ,547 ,4049 ,3 ,1,1,1,0.198435972629521,0.06972955360052134,0.1782339524275008,1.3193222548061259,0.0009775171065493646,0.3912248628884826,1,0,1,0,21,0.27,0.475,1.025,15.62,0
3602 ,29287878 ,2036 ,765 ,102631 ,1,1,1,0.851737999527075,6925.485457554978,0.48143769212579807,0.18089382832820997,24.268384960983685,14385.00884086444,1,0,1,0,1,0.4472361809045226,1.015075376884422,0.6884422110552764,9.256281407035177,0
70153 ,1131 ,1717 ,152 ,19 ,1,1,1,15.184632034632035,0.2448051948051948,0.37164502164502167,0.0329004329004329,0.004112554112554113,0.6587070471753058,1,0,2,0,18,0.36,0.255,0.455,9.735,1
7591 ,10459093 ,0 ,409 ,27292 ,1,1,1,1.4067828020756115,1938.3048554484803,0.0,0.07579688658265382,5.057820607857672,0,1,0,2,0,25,0.06,1.18,0.345,15.88,0
1 ,1 ,154 ,0 ,0 ,1,1,1,0.0017605633802816902,0.0017605633802816902,0.2711267605633803,0.0,0.0,0.006493506493506494,1,0,1,0,12,0.0,1.0,0.0,14.0,1
13506 ,2983 ,1997 ,1935 ,24 ,1,1,1,2.8699532511687207,0.6338716532086698,0.42435189120271993,0.41117722056948575,0.005099872503187421,1.4937406109163747,1,0,1,0,17,0.2653061224489796,0.1989795918367347,2.5051020408163267,19.443877551020407,1
7470 ,945265 ,2037 ,20400 ,3260 ,1,1,1,1.8444444444444446,233.39876543209877,0.502962962962963,5.037037037037037,0.8049382716049382,464.04761904761904,1,0,2,0,31,0.5577889447236181,0.41708542713567837,1.271356783919598,18.462311557788944,0
17310 ,382260 ,1842 ,1401 ,1438 ,1,1,1,3.92784206943499,86.73927842069435,0.4179714091218516,0.31790333560245065,0.32629906966190153,207.5244299674267,1,0,2,0,6,0.125,0.575,1.4,19.135,0
6945 ,2638620 ,3 ,5057 ,533 ,1,1,1,2.6763005780346822,1016.8092485549133,0.0011560693641618498,1.948747591522158,0.20539499036608863,879540.0,1,0,1,0,2,0.18181818181818182,0.4797979797979798,0.6464646464646465,13.969696969696969,0
1619 ,166 ,97 ,19 ,2 ,1,1,1,0.3469037925862438,0.035568887936575956,0.02078422969787872,0.004071137775873152,0.00042854081851296334,1.711340206185567,1,0,1,0,0,0.005025125628140704,0.9547738693467337,0.035175879396984924,15.110552763819095,1
7 ,33 ,600 ,5 ,0 ,1,1,1,0.002938706968933669,0.013853904282115869,0.2518891687657431,0.0020990764063811922,0.0,0.055,1,1,2,0,3,0.2857142857142857,0.7142857142857143,0.7142857142857143,10.142857142857142,1
3850 ,9205 ,2017 ,2724 ,130 ,1,1,1,0.9060955518945635,2.1663920922570017,0.4746999293951518,0.6410920216521534,0.030595434219816427,4.563708477937531,1,0,3,0,24,0.64,0.83,0.935,30.265,1
265 ,5 ,50 ,6 ,0 ,1,1,1,0.22766323024054982,0.00429553264604811,0.0429553264604811,0.005154639175257732,0.0,0.1,1,0,1,0,3,0.08205128205128205,0.5282051282051282,0.9435897435897436,9.497435897435897,1
27933 ,95220 ,835 ,5318 ,668 ,1,1,1,5.742804276315789,19.576480263157894,0.17166940789473684,1.0933388157894737,0.13733552631578946,114.03592814371258,1,0,2,0,17,1.2777777777777777,0.6212121212121212,1.1717171717171717,13.358585858585858,0
61534 ,261823 ,529 ,5092 ,222 ,1,1,1,15.924948240165632,67.75957556935818,0.13690476190476192,1.3178053830227743,0.05745341614906832,494.9395085066163,1,0,2,0,6,0.17587939698492464,0.3165829145728643,0.6683417085427136,9.879396984924623,0
51918 ,1439084 ,1553 ,18 ,282 ,1,1,1,11.249837486457205,311.82751895991333,0.3365113759479957,0.0039003250270855903,0.06110509209100758,926.6477784932389,1,0,2,0,20,0.3838383838383838,0.6161616161616161,0.8939393939393939,12.106060606060606,0
29 ,4618 ,4 ,0 ,79 ,1,1,1,0.008166713601802308,1.3004787383835539,0.001126443255421008,0.0,0.02224725429456491,1154.5,1,0,2,0,17,0.5517241379310345,0.2413793103448276,0.5862068965517241,13.827586206896552,1
3813 ,914 ,998 ,8019 ,0 ,1,1,1,2.9285714285714284,0.7019969278033794,0.7665130568356375,6.158986175115207,0.0,0.9158316633266533,1,0,2,0,0,0.4835164835164835,0.4230769230769231,1.467032967032967,18.153846153846153,0
547 ,2114593 ,261 ,2493 ,1840 ,1,1,1,0.14425105485232068,557.6458333333334,0.06882911392405064,0.6574367088607594,0.48523206751054854,8101.888888888889,1,0,3,0,9,0.23,0.74,0.7,8.115,0
11866 ,327385 ,550 ,4737 ,863 ,1,1,1,2.281484329936551,62.9465487406268,0.10574889444337628,0.9107863872332244,0.16592962891751586,595.2454545454545,1,0,2,0,19,1.15,1.025,0.27,22.145,0
7 ,2 ,1 ,10 ,0 ,1,1,1,0.010479041916167664,0.0029940119760479044,0.0014970059880239522,0.014970059880239521,0.0,2.0,1,0,2,0,3,0.14285714285714285,0.2857142857142857,0.14285714285714285,13.714285714285714,1
176978 ,5050984 ,781 ,307 ,10522 ,1,1,1,50.34935988620199,1436.9798008534851,0.22219061166429588,0.08733997155049787,2.9934566145092463,6467.329065300896,1,0,4,0,10,0.055,0.115,0.29,19.57,0
4833 ,290558 ,0 ,20280 ,402 ,1,1,1,1.2984954325631382,78.06501880709295,0.0,5.448683503492746,0.10800644814615798,0,1,0,1,0,14,2.535,1.76,0.035,32.395,0
2234 ,56449 ,1798 ,8580 ,524 ,1,1,1,0.46042868920032975,11.634171475680132,0.3705688375927453,1.7683429513602638,0.1079967023907667,31.39543937708565,1,0,2,0,4,0.29292929292929293,0.6565656565656566,1.792929292929293,15.404040404040405,0
3545 ,726 ,474 ,9492 ,1 ,1,1,1,3.0377035132819192,0.622107969151671,0.40616966580976865,8.133676092544988,0.000856898029134533,1.5316455696202531,1,0,5,0,6,0.1111111111111111,0.6111111111111112,1.2474747474747474,13.616161616161616,1
11705 ,438 ,292 ,961 ,0 ,1,1,1,3.0355290456431536,0.11358921161825726,0.07572614107883817,0.24922199170124482,0.0,1.5,1,0,1,0,0,0.005025125628140704,0.18090452261306533,0.2964824120603015,9.748743718592964,0
2114 ,1611680 ,569 ,3410 ,412 ,1,1,1,0.6631116687578419,505.54579673776664,0.1784818067754078,1.0696361355081556,0.12923462986198245,2832.4780316344463,1,0,1,0,4,0.13,0.355,0.515,13.455,0
38930 ,61425 ,5112 ,1186 ,102 ,1,1,1,8.098606199292698,12.778240066569586,1.0634491366756813,0.2467235281880591,0.021219055543998337,12.015845070422536,1,0,2,0,8,0.42,0.695,0.475,11.125,0
130 ,12805 ,83 ,248 ,4 ,1,1,1,0.0632295719844358,6.228112840466926,0.04036964980544747,0.12062256809338522,0.0019455252918287938,154.27710843373495,1,0,2,0,1,0.0234375,0.2578125,0.890625,11.0234375,0
1042 ,715 ,391 ,3237 ,1 ,1,1,1,1.5957120980091883,1.0949464012251149,0.5987748851454824,4.957120980091884,0.0015313935681470138,1.8286445012787724,1,1,1,0,9,0.2358974358974359,0.5692307692307692,1.2307692307692308,12.723076923076922,1
24743 ,42089 ,17250 ,32621 ,84 ,1,1,1,9.714566156262268,16.524931291715745,6.772673733804476,12.807616804083235,0.03297997644287397,2.439942028985507,1,1,2,1,21,0.01,0.965,1.18,14.73,1
11366 ,7120 ,3236 ,2865 ,176 ,1,1,1,3.8051556745898893,2.383662537663207,1.0833612320053565,0.9591563441580181,0.0589219953130231,2.2002472187886277,1,0,3,0,23,0.10552763819095477,0.4371859296482412,1.407035175879397,19.150753768844222,1
7806 ,2746833 ,916 ,2092 ,8542 ,1,1,1,1.7266091572660915,607.57199734572,0.20261004202610042,0.46272948462729485,1.88940499889405,2998.725982532751,1,0,2,0,11,0.41,0.745,1.975,16.67,0
762 ,190803 ,30 ,555 ,418 ,1,1,1,0.3412449619346171,85.44693237796686,0.013434841021047918,0.24854455888938648,0.18719211822660098,6360.1,1,0,1,0,0,0.12,0.965,0.755,14.675,0
2 ,4 ,2319 ,8 ,0 ,1,1,1,0.0029239766081871343,0.005847953216374269,3.3903508771929824,0.011695906432748537,0.0,0.0017248814144027599,1,8,1,0,0,0.0,1.0,0.5,5.0,1
36 ,12 ,98 ,88 ,0 ,1,1,1,0.014423076923076924,0.004807692307692308,0.03926282051282051,0.035256410256410256,0.0,0.12244897959183673,1,5,2,0,1,0.3333333333333333,0.2727272727272727,0.8484848484848485,10.333333333333334,0
6211 ,666 ,677 ,1538 ,25 ,1,1,1,1.5771965464702895,0.1691213814118842,0.17191467750126968,0.3905535804977146,0.0063484002031488065,0.983751846381093,1,0,3,0,24,0.025,0.92,0.1,9.58,1
1245 ,88732 ,370 ,2134 ,69 ,1,1,1,0.9584295612009238,68.30792917628945,0.2848344880677444,1.642802155504234,0.053117782909930716,239.81621621621622,1,0,1,0,13,0.22,0.74,0.39,6.415,0
20209 ,452 ,613 ,109 ,0 ,1,1,1,4.900339476236663,0.1096023278370514,0.14864209505334627,0.026430649854510185,0.0,0.7373572593800979,1,0,3,0,8,0.078125,0.08333333333333333,0.7760416666666666,10.677083333333334,1
5 ,22 ,648 ,13 ,0 ,1,1,1,0.002612330198537095,0.011494252873563218,0.3385579937304075,0.006792058516196447,0.0,0.033950617283950615,1,2,2,0,2,0.0,0.2,1.0,8.2,1
30108 ,58120 ,2473 ,7617 ,394 ,1,1,1,7.925243485127665,15.298762832324297,0.6509607791524086,2.005001316135825,0.10371150302711239,23.501819652244237,1,0,2,0,13,0.035,0.19,1.495,19.44,0
19988 ,61054 ,924 ,1210 ,204 ,1,1,1,4.882266731802638,14.91304347826087,0.2256961406936981,0.29555446995603324,0.049829018075232046,66.07575757575758,1,0,3,0,17,0.285,0.99,0.415,29.865,0
37988 ,7790 ,535 ,15824 ,277 ,1,1,1,7.649617398308497,1.5686669351590818,0.10773258155457108,3.186467982279501,0.05577929923479662,14.560747663551401,1,0,2,0,10,0.19,0.275,1.155,14.67,1
6217 ,710955 ,263 ,5057 ,1514 ,1,1,1,1.730308934038408,197.87225160033398,0.07319788477595324,1.4074589479543558,0.42137489563039243,2703.2509505703424,1,2,2,0,3,0.17587939698492464,0.24120603015075376,1.6532663316582914,12.306532663316583,0
